id,province_code,province_en_name,province,area_name,area_name_slug
114,BGD,baghdad,بغداد,الشورجة,BGD114
115,BGD,baghdad,بغداد,سوق الغزل,BGD115
116,BGD,baghdad,بغداد,السنك,BGD116
117,BGD,baghdad,بغداد,باب الشيخ,BGD117
118,BGD,baghdad,بغداد,كسرة وعطش / مدينة الصدر,BGD118
119,BGD,baghdad,بغداد,الصرافية,BGD119
120,BGD,baghdad,بغداد,الثعالبة,BGD120
121,BGD,baghdad,بغداد,بوب الشام,BGD121
122,BGD,baghdad,بغداد,شهداء البياع,BGD122
123,BGD,baghdad,بغداد,شهداء العبيدي,BGD123
124,BGD,baghdad,بغداد,ام عظام,BGD124
125,BGD,baghdad,بغداد,الحماميات,BGD125
126,BGD,baghdad,بغداد,الصابيات,BGD126
127,BGD,baghdad,بغداد,السلاميات,BGD127
128,BGD,baghdad,بغداد,منشأة نصر,BGD128
129,BGD,baghdad,بغداد,مرور التاجي,BGD129
130,BGD,baghdad,بغداد,شاطئ التاجي,BGD130
131,BGD,baghdad,بغداد,جسر الدوار,BGD131
132,BGD,baghdad,بغداد,المشاهدة,BGD132
133,BGD,baghdad,بغداد,العبايجي,BGD133
134,BGD,baghdad,بغداد,النباعي,BGD134
135,BGD,baghdad,بغداد,الجلاعطة,BGD135
136,BGD,baghdad,بغداد,الطوبجي,BGD136
137,BGD,baghdad,بغداد,الشيخ عمر,BGD137
138,BGD,baghdad,بغداد,منطقة ال600,BGD138
139,BGD,baghdad,بغداد,الكفاح,BGD139
140,BGD,baghdad,بغداد,النهضة,BGD140
141,BGD,baghdad,بغداد,حي الحسين,BGD141
142,BGD,baghdad,بغداد,شقق السلام,BGD142
143,BGD,baghdad,بغداد,المخابرات,BGD143
144,BGD,baghdad,بغداد,الرفاق,BGD144
145,BGD,baghdad,بغداد,الاساتذة,BGD145
146,BGD,baghdad,بغداد,الملحانية,BGD146
147,BGD,baghdad,بغداد,الرسالة الاولى,BGD147
148,BGD,baghdad,بغداد,الرسالة الثانية,BGD148
149,BGD,baghdad,بغداد,تقاطع درويش,BGD149
150,BGD,baghdad,بغداد,الاعلام,BGD150
151,BGD,baghdad,بغداد,حي الشباب,BGD151
152,BGD,baghdad,بغداد,المواصلات الرابعة,BGD152
153,BGD,baghdad,بغداد,الرافدين,BGD153
154,BGD,baghdad,بغداد,جامع الكبير,BGD154
155,BGD,baghdad,بغداد,الري,BGD155
156,BGD,baghdad,بغداد,تراث البياع,BGD156
157,BGD,baghdad,بغداد,تراث البلديات,BGD157
158,BGD,baghdad,بغداد,المحمودية,BGD158
159,BGD,baghdad,بغداد,اليوسفية,BGD159
160,BGD,baghdad,بغداد,اللطيفية,BGD160
161,BGD,baghdad,بغداد,علوة الرشيد,BGD161
162,BGD,baghdad,بغداد,كويريش,BGD162
163,BGD,baghdad,بغداد,الجسر السابع,BGD163
164,BGD,baghdad,بغداد,صدر اليوسفية,BGD164
165,BGD,baghdad,بغداد,بسماية,BGD165
166,BGD,baghdad,بغداد,النهروان,BGD166
167,BGD,baghdad,بغداد,سلمان باك,BGD167
168,BGD,baghdad,بغداد,ناحية الوحدة / المدائن,BGD168
169,BGD,baghdad,بغداد,حي الوحدة / كرادة,BGD169
170,BGD,baghdad,بغداد,المدائن,BGD170
171,BGD,baghdad,بغداد,جسر ديالى القديم,BGD171
172,BGD,baghdad,بغداد,جسر ديالى الجديد,BGD172
173,BGD,baghdad,بغداد,الكرغولية,BGD173
174,BGD,baghdad,بغداد,سبع قصور / الشعب,BGD174
175,BGD,baghdad,بغداد,الجزيرة السياحية,BGD175
176,BGD,baghdad,بغداد,حي البساتين,BGD176
177,BGD,baghdad,بغداد,طريق الانتصار,BGD177
178,BGD,baghdad,بغداد,كميرة,BGD178
179,BGD,baghdad,بغداد,رئاسة المعلمين,BGD179
180,BGD,baghdad,بغداد,حي الرئاسة,BGD180
181,BGD,baghdad,بغداد,حي المعلمين / المشتل,BGD181
182,BGD,baghdad,بغداد,شاعورة وجدر,BGD182
183,BGD,baghdad,بغداد,معامل الحسينية,BGD183
184,BGD,baghdad,بغداد,معامل الباوية,BGD184
185,BGD,baghdad,بغداد,العماري,BGD185
186,BGD,baghdad,بغداد,السعادة والكرامة,BGD186
187,BGD,baghdad,بغداد,الجوادين,BGD187
188,BGD,baghdad,بغداد,رحمانية الشعلة,BGD188
189,BGD,baghdad,بغداد,سريدات,BGD189
190,BGD,baghdad,بغداد,الخطيب,BGD190
191,BGD,baghdad,بغداد,نفق الشرطة,BGD191
192,BGD,baghdad,بغداد,بسكولاتة,BGD192
193,BGD,baghdad,بغداد,ابو دشير,BGD193
194,BGD,baghdad,بغداد,عرب جبور,BGD194
195,BGD,baghdad,بغداد,جميلة,BGD195
196,BGD,baghdad,بغداد,حي طارق,BGD196
197,BGD,baghdad,بغداد,باب الشرجي,BGD197
198,BGD,baghdad,بغداد,الامين الاولى,BGD198
199,BGD,baghdad,بغداد,الامين الثانية,BGD199
200,BGD,baghdad,بغداد,النعيرية,BGD200
201,BGD,baghdad,بغداد,معامل النهروان,BGD201
202,BGD,baghdad,بغداد,السعدون,BGD202
203,BGD,baghdad,بغداد,الرضوانية الغربية / ابو غريب,BGD203
204,BGD,baghdad,بغداد,الرضوانية الشرقية / اليوسفية,BGD204
205,BGD,baghdad,بغداد,الطالبية,BGD205
206,BGD,baghdad,بغداد,حي المعالف,BGD206
207,BGD,baghdad,بغداد,حسينية الراشدية,BGD207
208,BGD,baghdad,بغداد,الشرطة الخامسة,BGD208
209,BGD,baghdad,بغداد,المنطقة الخضراء,BGD209
210,BGD,baghdad,بغداد,الشماعية,BGD210
211,BGD,baghdad,بغداد,شارع مطار بغداد الدولي,BGD211
212,BGD,baghdad,بغداد,منطقة العزم,BGD212
213,BGD,baghdad,بغداد,ام الكبر والغزلان,BGD213
214,BGD,baghdad,بغداد,جكوك,BGD214
215,BGD,baghdad,بغداد,ناحية الرشيد,BGD215
216,BGD,baghdad,بغداد,فلكة النصر,BGD216
217,BGD,baghdad,بغداد,حي السلام / الطوبجي,BGD217
218,BGD,baghdad,بغداد,المامون,BGD218
219,BGD,baghdad,بغداد,منطقة ال 120,BGD219
220,BGD,baghdad,بغداد,الجامعة المستنصرية,BGD220
221,BGD,baghdad,بغداد,الشرطة الرابعة,BGD221
222,BGD,baghdad,بغداد,حي الداخلية / اليرموك,BGD222
223,BGD,baghdad,بغداد,جسر صدام,BGD223
224,BGD,baghdad,بغداد,تقاطع الشرطة الرابعة,BGD224
225,BGD,baghdad,بغداد,حي الكوفة,BGD225
226,BGD,baghdad,بغداد,الضباط الصحفيين,BGD226
227,BGD,baghdad,بغداد,حي الامين,BGD227
228,BGD,baghdad,بغداد,حي الرسالة الثانية,BGD228
229,BGD,baghdad,بغداد,شقق الطالبية,BGD229
230,BGD,baghdad,بغداد,ساحة التحرير,BGD230
231,BGD,baghdad,بغداد,ساحة الطيران,BGD231
232,BGD,baghdad,بغداد,بوابة الكاظمية,BGD232
233,BGD,baghdad,بغداد,حي الفرات,BGD233
234,BGD,baghdad,بغداد,رئاسة العبيدي,BGD234
235,BGD,baghdad,بغداد,ساحة الوثبة,BGD235
236,BGD,baghdad,بغداد,ساحة عدن,BGD236
237,BGD,baghdad,بغداد,ساحة الفردوس,BGD237
238,BGD,baghdad,بغداد,جسر المثنى,BGD238
239,BGD,baghdad,بغداد,الزوية,BGD239
240,BGD,baghdad,بغداد,البكرية,BGD240
241,BGD,baghdad,بغداد,صدر القناة,BGD241
242,BGD,baghdad,بغداد,الامين الثالثة,BGD242
243,BGD,baghdad,بغداد,البعيثه,BGD243
244,BGD,baghdad,بغداد,الشهداء الثانية,BGD244
245,BGD,baghdad,بغداد,الكفاءات / العبيدي,BGD245
246,BGD,baghdad,بغداد,شارع المتنبي,BGD246
247,BGD,baghdad,بغداد,ساحة ميسلون,BGD247
248,BGD,baghdad,بغداد,جرف النداف,BGD248
249,BGD,baghdad,بغداد,حي الرفاق / البلديات,BGD249
250,BGD,baghdad,بغداد,حي المخابرات,BGD250
251,BGD,baghdad,بغداد,حي صدام,BGD251
252,BGD,baghdad,بغداد,حي الرسالة الثالثة,BGD252
253,BGD,baghdad,بغداد,شارع البدالة / الغزالية,BGD253
254,BGD,baghdad,بغداد,شهداء العبيدي الثانية,BGD254
255,BGD,baghdad,بغداد,ابو نؤاس,BGD255
256,BGD,baghdad,بغداد,بزايز اليوسفية,BGD256
257,BGD,baghdad,بغداد,ملعب الشعب,BGD257
258,BGD,baghdad,بغداد,ساحة اللقاء,BGD258
259,BGD,baghdad,بغداد,رحمانية /العلاوي,BGD259
260,BGD,baghdad,بغداد,ساحة النسور,BGD260
261,BGD,baghdad,بغداد,حي الامانة,BGD261
262,BGD,baghdad,بغداد,شارع الصناعة / الكرادة,BGD262
263,BGD,baghdad,بغداد,حي سومر,BGD263
264,BGD,baghdad,بغداد,شارع النضال,BGD264
265,BGD,baghdad,بغداد,شارع الجمهورية,BGD265
266,BGD,baghdad,بغداد,حي حطين,BGD266
267,BGD,baghdad,بغداد,كفاءات / السيدية,BGD267
268,BGD,baghdad,بغداد,حي عدن / الشعب,BGD268
269,BGD,baghdad,بغداد,الكيلاني,BGD269
270,BGD,baghdad,بغداد,الاصلاح,BGD270
271,BGD,baghdad,بغداد,حي السفير,BGD271
272,BGD,baghdad,بغداد,ساحة الاندلس,BGD272
273,BGD,baghdad,بغداد,تقاطع النهروان,BGD273
274,BGD,baghdad,بغداد,حي التربة,BGD274
275,BGD,baghdad,بغداد,حي الرسالة الاولى,BGD275
276,BGD,baghdad,بغداد,حي المعلمين / القاهرة,BGD276
277,BGD,baghdad,بغداد,حي المعلمين / الدورة,BGD277
278,BGD,baghdad,بغداد,حي السلام / قرب حي الجهاد,BGD278
279,BGD,baghdad,بغداد,سبع قصور / الكرادة,BGD279
280,BGD,baghdad,بغداد,حي الرفاق / حي العامل,BGD280
281,BGD,baghdad,بغداد,شارع البدالة / الكمالية,BGD281
282,BGD,baghdad,بغداد,الادريسي / شارع فلسطين,BGD282
283,BGD,baghdad,بغداد,حي الصدرين / الشعلة,BGD283
284,BGD,baghdad,بغداد,حي الصدرين / مدينة الصدر,BGD284
285,BGD,baghdad,بغداد,الأثوريين,BGD285
286,BGD,baghdad,بغداد,طعمة,BGD286
287,BGD,baghdad,بغداد,أبو طيارة,BGD287
288,BGD,baghdad,بغداد,جمعية خير الله,BGD288
289,BGD,baghdad,بغداد,الهواشة,BGD289
290,BGD,baghdad,بغداد,غير محدد,other
291,BGD,baghdad,بغداد,الجملة العصبية,BGD291
292,BGD,baghdad,بغداد,بوابة العراق,BGD292
293,BGD,baghdad,بغداد,الطي,BGD293
294,BGD,baghdad,بغداد,الكسرة,BGD294
295,BGD,baghdad,بغداد,الفضيلية,BGD295
296,BGD,baghdad,بغداد,مجمع الايادي,BGD296
297,BGD,baghdad,بغداد,ابراهيم بن علي,BGD297
298,BGD,baghdad,بغداد,مدينة الطب,BGD298
299,BGD,baghdad,بغداد,نواب الضباط,BGD299
300,BGD,baghdad,بغداد,الحرية نواب الضباط,BGD300
301,BGD,baghdad,بغداد,ابن البيطار,BGD301
302,BGD,baghdad,بغداد,المحاسبيين,BGD302
303,KRB,karbala,كربلاء,ناحية عون,KRB303
304,KRB,karbala,كربلاء,الحر,KRB304
305,KRB,karbala,كربلاء,ناحية الحسينية,KRB305
306,KRB,karbala,كربلاء,عين التمر,KRB306
307,KRB,karbala,كربلاء,ناحية الرحالية,KRB307
308,KRB,karbala,كربلاء,طويريج,KRB308
309,KRB,karbala,كربلاء,الجدول الغربي,KRB309
310,KRB,karbala,كربلاء,ناحية الخيرات,KRB310
311,KRB,karbala,كربلاء,حي القادسية,KRB311
312,KRB,karbala,كربلاء,حي العامل,KRB312
313,KRB,karbala,كربلاء,حي النواب,KRB313
314,KRB,karbala,كربلاء,حي الموظفين,KRB314
315,KRB,karbala,كربلاء,حي الغدير,KRB315
316,KRB,karbala,كربلاء,حي الاسرة,KRB316
317,KRB,karbala,كربلاء,حي الحسين,KRB317
318,KRB,karbala,كربلاء,حي العباس,KRB318
319,KRB,karbala,كربلاء,حي سيف سعد,KRB319
320,KRB,karbala,كربلاء,حي الامين,KRB320
321,KRB,karbala,كربلاء,شارع ميثم التمار,KRB321
322,KRB,karbala,كربلاء,حي النقيب,KRB322
323,KRB,karbala,كربلاء,حي البلدية,KRB323
